      80001    -3.36140    98.72380         -0.00000    -19.9797      0.0050	   -20.990	   -19.970	   -21.039
      80001    -3.31230    98.74140         -0.00000    -20.1852      0.0050	   -21.193	   -20.179	   -21.241
      80001    -3.26340    98.75890         -0.00000    -20.3823      0.0050	   -21.391	   -20.377	   -21.434
      80001    -3.21420    98.77650         -0.00000    -20.5892      0.0050	   -21.588	   -20.587	   -21.646
      80001    -3.16470    98.79420         -0.00000    -20.8007      0.0050	   -21.791	   -20.799	   -21.854
      80001    -3.11520    98.81200          0.00000    -20.9979      0.0050	   -21.992	   -21.003	   -22.048
      80001    -3.06550    98.82960         -0.00000    -21.1675      0.0050	   -22.171	   -21.164	   -22.221
      80001    -3.01580    98.84740          0.00000    -21.3080      0.0050	   -22.317	   -21.311	   -22.361
      80001    -2.96660    98.86500          0.00000    -21.4119      0.0050	   -22.418	   -21.416	   -22.463
      80001    -2.91740    98.88270         -0.00000    -21.4667      0.0050	   -22.463	   -21.466	   -22.514
      80001    -2.86800    98.90040          0.00000    -21.4553      0.0050	   -22.438	   -21.455	   -22.501
      80001    -2.81850    98.91810         -0.00000    -21.3741      0.0050	   -22.334	   -21.370	   -22.417
      80001    -2.76950    98.93560         -0.00000    -21.1980      0.0050	   -22.158	   -21.194	   -22.243
      80001    -2.72060    98.95310         -0.00000    -20.9531      0.0050	   -21.916	   -20.940	   -21.996
      80001    -2.67140    98.97070         -0.00000    -20.6421      0.0050	   -21.602	   -20.641	   -21.680
      80001    -2.62190    98.98850          0.00000    -20.2689      0.0050	   -21.199	   -20.272	   -21.322
      80001    -2.57280    99.00590         -0.00000    -19.8093      0.0050	   -20.716	   -19.801	   -20.854
      80001    -2.52380    99.02350         -0.00000    -19.2650      0.0050	   -20.178	   -19.261	   -20.298
      80001    -2.47490    99.04090         -0.00000    -18.7447      0.0050	   -19.644	   -18.742	   -19.774
      80001    -2.42490    99.05880         -0.00000    -18.2753      0.0050	   -19.155	   -18.273	   -19.313
      80001    -2.37530    99.07650          0.00000    -17.8738      0.0050	   -18.745	   -17.877	   -18.922
      80001    -2.32620    99.09390          0.00000    -17.5080      0.0050	   -18.393	   -17.527	   -18.554
      80001    -2.27750    99.11140          0.00000    -17.1567      0.0050	   -18.048	   -17.166	   -18.199
      80001    -2.23290    99.12700         -0.00000    -16.8337      0.0050	   -17.709	   -16.828	   -17.870
      80001    -2.18110    99.14570          0.00000    -16.3957      0.0050	   -17.273	   -16.396	   -17.438
      80001    -2.13170    99.16350         -0.00000    -15.9624      0.0050	   -16.832	   -15.959	   -17.007
      80001    -2.08320    99.18090         -0.00000    -15.5585      0.0050	   -16.421	   -15.555	   -16.617
      80001    -2.03420    99.19850          0.00000    -15.2008      0.0050	   -16.068	   -15.216	   -16.264
      80001    -1.98690    99.21490          0.00000    -14.8986      0.0050	   -15.781	   -14.927	   -15.987
      80001    -1.54240    99.37420          0.00000    -15.2118      0.0050	   -16.250	   -15.248	   -16.379
      80001    -1.49440    99.39090          0.00000    -15.3900      0.0050	   -16.420	   -15.412	   -16.547
      80001    -1.44500    99.40860          0.00000    -15.4619      0.0050	   -16.482	   -15.502	   -16.623
      80001    -1.39620    99.42590          0.00000    -15.4562      0.0050	   -16.470	   -15.482	   -16.625
      80001    -1.34710    99.44380          0.00000    -15.3806      0.0050	   -16.389	   -15.387	   -16.536
      80001    -1.29780    99.46130         -0.00000    -15.2464      0.0050	   -16.234	   -15.218	   -16.392
      80001    -1.24780    99.47930          0.00000    -15.0152      0.0050	   -16.022	   -15.024	   -16.173
      80001    -1.19920    99.49640         -0.00000    -14.8179      0.0050	   -15.800	   -14.809	   -15.975
      80001    -1.15450    99.51230          0.00000    -14.5974      0.0050	   -15.585	   -14.604	   -15.765
      80001    -1.10640    99.52930          0.00000    -14.3470      0.0050	   -15.335	   -14.355	   -15.520
      80001    -1.05760    99.54690          0.00000    -14.0874      0.0050	   -15.060	   -14.089	   -15.263
      80001    -1.00810    99.56440          0.00000    -13.7845      0.0050	   -14.756	   -13.789	   -14.961
      80001    -0.95830    99.58220          0.00000    -13.4254      0.0050	   -14.401	   -13.430	   -14.597
      80001    -0.90870    99.59990          0.00000    -13.0108      0.0050	   -14.013	   -13.012	   -14.180
      80001    -0.85960    99.61750          0.00000    -12.5759      0.0050	   -13.618	   -12.576	   -13.753
      80001    -0.81170    99.63450         -0.00000    -12.1572      0.0050	   -13.221	   -12.155	   -13.333
      80001    -0.76290    99.65180         -0.00000    -11.7524      0.0050	   -12.798	   -11.732	   -12.911
      80001    -0.71370    99.66960         -0.00000    -11.3402      0.0050	   -12.369	   -11.309	   -12.488
      80001    -0.66490    99.68670         -0.00000    -10.9339      0.0050	   -11.955	   -10.902	   -12.078
      80001    -0.61510    99.70450         -0.00000    -10.4913      0.0050	   -11.522	   -10.469	   -11.647
      80001    -0.56510    99.72240         -0.00000    -10.0637      0.0050	   -11.095	   -10.049	   -11.235
      80001    -0.51550    99.73980         -0.00000     -9.6682      0.0050	   -10.707	    -9.660	   -10.854
      80001    -0.46680    99.75720         -0.00000     -9.3148      0.0050	   -10.345	    -9.304	   -10.513
      80001    -0.41860    99.77420          0.00000     -8.9537      0.0050	    -9.997	    -8.971	   -10.171
      80001     2.43080   100.79050          0.00000     -4.3931      0.0050	    -5.596	    -4.405	    -7.464
      80001     2.47910   100.80770          0.00000     -4.3734      0.0050	    -5.576	    -4.383	    -7.470
      80001     2.52840   100.82560          0.00000     -4.3304      0.0050	    -5.549	    -4.351	    -7.431
      80001     2.57680   100.84260         -0.00000     -4.3544      0.0050	    -5.532	    -4.341	    -7.413
      80001     2.62480   100.86020         -0.00000     -4.3443      0.0050	    -5.512	    -4.340	    -7.384
      80001     2.67360   100.87750         -0.00000     -4.3448      0.0050	    -5.495	    -4.331	    -7.356
      80001     2.72190   100.89520         -0.00000     -4.3440      0.0050	    -5.474	    -4.328	    -7.334
      80001     2.77060   100.91230          0.00000     -4.3058      0.0050	    -5.447	    -4.307	    -7.280
      80001     2.81980   100.92990         -0.00000     -4.2555      0.0050	    -5.395	    -4.245	    -7.201
      80001     2.87050   100.94810          0.00000     -4.1584      0.0050	    -5.318	    -4.163	    -7.099
      80001     2.91930   100.96530         -0.00000     -4.0774      0.0050	    -5.242	    -4.073	    -7.005
      80001     2.96820   100.98280         -0.00000     -4.0051      0.0050	    -5.187	    -3.996	    -6.930
      80001     3.01700   101.00030          0.00000     -3.9471      0.0050	    -5.159	    -3.955	    -6.892
      80001     3.06530   101.01750          0.00000     -3.9311      0.0050	    -5.143	    -3.942	    -6.878
      80001     3.11400   101.03510          0.00000     -3.9140      0.0050	    -5.115	    -3.916	    -6.862
      80001     3.16330   101.05250          0.00000     -3.8817      0.0050	    -5.069	    -3.890	    -6.829
